time,d2w,d2w_range,d2w_ROC,d2w_spike,d2w_FlatLine,label
2018-12-16 14:15:00,1230.4,1,1,1,1,1
2018-12-16 14:20:00,1236.4959999999996,1,1,1,1,1
2018-12-16 14:25:00,1230.588,1,1,1,1,1
2018-12-16 14:30:00,1235.302,1,1,1,1,1
2018-12-16 14:35:00,1226.0179999999993,1,1,1,1,1
2018-12-16 14:40:00,1224.0339999999997,1,1,1,1,1
2018-12-16 14:45:00,1232.67625,1,1,1,1,1
2018-12-16 14:50:00,1248.0620000000004,1,1,1,1,1
2018-12-16 14:55:00,1260.996,1,1,1,1,1
2018-12-16 15:00:00,1235.6925,1,3,1,1,1
2018-12-16 15:05:00,1245.7160000000003,1,1,1,1,1
2018-12-16 15:10:00,1228.88,1,1,1,1,1
2018-12-16 15:15:00,1239.504,1,1,1,1,1
2018-12-16 15:20:00,1229.5159999999996,1,1,1,1,1
2018-12-16 15:25:00,1229.9979999999996,1,1,1,1,1
2018-12-16 15:30:00,1230.376,1,1,1,1,1
2018-12-16 15:35:00,1232.2480000000005,1,1,1,1,1
2018-12-16 15:40:00,1224.7960000000005,1,1,1,1,1
2018-12-16 15:45:00,1232.7740000000006,1,1,1,1,1
2018-12-16 15:50:00,1222.6220000000005,1,1,1,1,1
2018-12-16 15:55:00,1217.9919999999995,1,1,1,1,1
2018-12-16 16:00:00,1220.1019999999999,1,1,1,1,1
2018-12-16 16:05:00,1224.0,1,1,1,1,1
2018-12-16 16:10:00,1211.2250000000004,1,1,1,1,1
2018-12-16 16:15:00,1222.544,1,1,1,1,1
2018-12-16 16:20:00,1221.6739999999998,1,1,1,1,1
2018-12-16 16:25:00,1214.582,1,1,1,1,1
2018-12-16 16:30:00,1209.4239999999998,1,1,1,1,1
2018-12-16 16:35:00,1216.9700000000005,1,1,1,1,1
2018-12-16 16:40:00,1209.31,1,1,1,1,1
2018-12-16 16:45:00,1203.8799999999997,1,1,1,1,1
2018-12-16 16:50:00,1196.264,1,1,1,1,1
2018-12-16 16:55:00,1192.694,1,1,1,1,1
2018-12-16 17:00:00,1201.3079999999995,1,1,1,1,1
2018-12-16 17:05:00,1186.2000000000005,1,1,1,1,1
2018-12-16 17:10:00,1180.736,1,1,1,1,1
2018-12-16 17:15:00,1179.8339999999996,1,1,1,1,1
2018-12-16 17:20:00,1185.648,1,1,1,1,1
2018-12-16 17:25:00,1165.746,1,1,1,1,1
2018-12-16 17:30:00,1168.034,1,1,1,1,1
2018-12-16 17:35:00,1163.7519999999995,1,1,1,1,1
2018-12-16 17:40:00,1156.19,1,1,1,1,1
2018-12-16 17:45:00,1147.4500000000005,1,1,1,1,1
2018-12-16 17:50:00,1157.25,1,1,1,1,1
2018-12-16 17:55:00,1156.0019999999995,1,1,1,1,1
2018-12-16 18:00:00,1143.1359999999995,1,1,1,1,1
2018-12-16 18:05:00,1141.3819999999996,1,1,1,1,1
2018-12-16 18:10:00,1147.5020833333335,1,1,1,1,1
2018-12-16 18:15:00,1141.9260000000004,1,1,1,1,1
2018-12-16 18:20:00,1138.21,1,1,1,1,1
2018-12-16 18:25:00,1126.296,1,1,1,1,1
2018-12-16 18:30:00,1122.7879999999998,1,1,1,1,1
2018-12-16 18:35:00,1125.7420000000004,1,1,1,1,1
2018-12-16 18:40:00,1114.2460000000003,1,1,1,1,1
2018-12-16 18:45:00,1108.2359999999996,1,1,1,1,1
2018-12-16 18:50:00,1111.1460000000004,1,1,1,1,1
2018-12-16 18:55:00,1111.4841666666666,1,1,1,1,1
2018-12-16 19:00:00,1099.052,1,1,1,1,1
2018-12-16 19:05:00,1102.2679999999998,1,1,1,1,1
2018-12-16 19:10:00,1110.7979999999998,1,1,1,1,1
2018-12-16 19:15:00,1104.4620000000002,1,1,1,1,1
2018-12-16 19:20:00,1112.4299999999994,1,1,1,1,1
2018-12-16 19:25:00,1108.6939999999997,1,1,1,1,1
2018-12-16 19:30:00,1092.644,1,1,1,1,1
2018-12-16 19:35:00,1102.0279999999998,1,1,1,1,1
2018-12-16 19:40:00,1098.808,1,1,1,1,1
2018-12-16 19:45:00,1095.504,1,1,1,1,1
2018-12-16 19:50:00,1095.7779999999998,1,1,1,1,1
2018-12-16 19:55:00,1094.278333333333,1,1,1,1,1
2018-12-16 20:00:00,1089.3399999999997,1,1,1,1,1
2018-12-16 20:05:00,1090.8539999999996,1,1,1,1,1
2018-12-16 20:10:00,1097.9100000000003,1,1,1,1,1
2018-12-16 20:15:00,1087.3679999999997,1,1,1,1,1
2018-12-16 20:20:00,1091.2040000000004,1,1,1,1,1
2018-12-16 20:25:00,1093.1579999999997,1,1,1,1,1
2018-12-16 20:30:00,1105.592,1,1,1,1,1
2018-12-16 20:35:00,1080.3020000000004,1,3,3,1,1
2018-12-16 20:40:00,1123.4400000000003,1,3,1,1,1
2018-12-16 20:45:00,1123.2920000000004,1,1,1,1,1
2018-12-16 20:50:00,1123.5819999999999,1,1,1,1,1
